
1987-88 NBA Salaries

[From the Detroit Free Press with thanks to Michael Siewenie for sending 
me the players' salaries info]

Team Payrolls
    Team                      Payroll 
Reggie Miller ..................   254,000
Ron Anderson ...................   200,000
Stuart Gray ....................   200,000
Greg Dreiling ..................   180,000
Scott Skiles ...................   172,000
Clinton Wheeler ................   100,000

Los Angeles Clippers     Total: $6,110,708
Benoit Benjamin ................ 1,082,000
Norm Nixon .....................   985,000
Michael Cage ...................   810,000
Larry Drew .....................   600,000
Reggie Williams ................   600,000
Mike Woodson ...................   375,000
Darnell Valentine ..............   300,000
Joe Wolf .......................   283,708
Earl Cureton ...................   265,000
Ken Norman .....................   250,000
Greg Kite ......................   200,000
Quintin Dailey .................   135,000
Steve Burtt ....................    75,000
Claude Gregory .................    75,000
Eric White .....................    75,000

Los Angeles Lakers       Total: $9,107,250
Magic Johnson .................. 2,500,000
Kareem Abdul-Jabbar ............ 2,000,000
James Worthy ................... 1,100,000
Mychal Thompson ................   712,000
Michael Cooper .................   676,500
Byron Scott ....................   600,000
Kurt Rambis ....................   525,000
Billy Thompson .................   230,000
A.C. Green .....................   218,750
Mike Smrek .....................   200,000
Wes Matthews ...................   120,000
Milt Wagner ....................    75,000
Jeff Lamp ......................    75,000
Tony Campbell ..................    75,000

Milwaukee Bucks          Total: $6,622,834
Jack Sikma ..................... 1,600,000
Terry Cummings ................. 1,330,000
Sidney Moncrief ................   784,000
Paul Pressey ...................   750,000
John Lucas .....................   600,000
Paul Mokeski ...................   350,000
Randy Breuer ...................   312,500
Jay Humphries ..................   290,000
Ricky Pierce ...................   225,000
Jerry Reynolds .................   181,334
Larry Krystkowiak ..............   125,000
John Stroeder ..................    75,000

New Jersey Nets          Total: $6,372,516
Buck Williams .................. 1,315,000
Orlando Woolridge .............. 1,200,000
Tim McCormick ..................   675,000
Otis Birdsong ..................   500,000
John Bagley ....................   475,000
Roy Hinson .....................   420,000
Dennis Hopson ..................   400,850
Pearl Washington ...............   310,000
Keith Lee ......................   301,666
Kevin McKenna ..................   150,000
Tony Brown .....................   135,000
Chris Engler ...................   125,000
Dallas Comegys .................   115,000
Mike O'Koren ...................   100,000
Dudley Bradley .................    75,000
Duane Washington ...............    75,000

New York Knicks          Total: $7,458,766
Patrick Ewing .................. 2,750,000
Bill Cartwright ................ 1,135,000
Pat Cummings ...................   712,000
Sidney Green ...................   700,000
Kenny Walker ...................   575,000
Louis Orr ......................   450,000
Trent Tucker ...................   325,000
Johnny Newman ..................   275,000
Gerald Wilkins .................   246,666
Mark Jackson ...................   115,100
Rick Carlisle ..................   100,000
Sedric Toney ...................    75,000

Philadelphia 76ers       Total: $6,197,183
Maurice Cheeks ................. 1,000,000
Charles Barkley ................   822,500
Andrew Toney ...................   700,000
Cliff Robinson .................   682,600
Mike Gminski ...................   675,000
Danny Vranes ...................   517,000
Albert King ....................   370,000
Gerald Henderson ...............   339,250
Ben Coleman ....................   275,000
David Wingate ..................   258,333
Christian Welp .................   257,500
Bob Thornton ...................   125,000
Mark McNamara ..................   100,000
David Henderson ................    75,000

Phoenix Suns             Total: $5,202,100
Walter Davis ...................   750,000
Armon Gilliam ..................   700,000
Alvan Adams  ...................   675,000
Eddie Johnson ..................   675,000
Kevin Johnson ..................   536,100
Mark West ......................   412,000
Craig Hodges ...................   325,000
James Bailey ...................   300,000
Jeff Cook ......................   175,000
Bernard Thompson ...............   150,000
Tyrone Corbin ..................   125,000
Kenny Gattison .................   110,000
Winston Crite ..................   100,000
Jeff Hornacek ..................    94,000
Ron Moore ......................    75,000

Portland Trailblazers    Total: $5,190,386
Sam Bowie ...................... 1,055,000
Kiki Vandeweghe ................   961,000
Steve Johnson ..................   650,000
Maurice Lucas ..................   395,500
Clyde Drexler ..................   350,000
Terry Porter ...................   251,700
Caldwell Jones .................   250,000
Jerry Sichting .................   250,000
Charles Jones ..................   200,520
Ronnie Murphy ..................   191,666
Jerome Kersey ..................   190,000
Kevin Duckworth ................   175,000
Richard Anderson ...............   150,000
Michael Holton .................   120,000

Sacramento Kings         Total: $5,776,000
Derek Smith ....................   900,000
Reggie Theus ...................   800,000
LaSalle Thompson ...............   636,000
Kenny Smith ....................   600,000
Joe Kleine .....................   575,000
Terry Tyler ....................   475,000
Mike McGee .....................   350,000
Ed Pinckney ....................   347,500
Otis Thorpe ....................   337,500
Jawann Oldham ..................   280,000
Harold Pressley ................   240,000
Conner Henry ...................   120,000
Michael Jackson ................   115,000

San Antonio Spurs        Total: $4,898,500
David Robinson ................. 1,046,000
Mike Mitchell ..................   750,000
David Greenwood ................   700,000
Alvin Robertson ................   425,000
Johnny Dawkins .................   330,000
Kurt Nimphius ..................   310,000
Walter Berry ...................   287,500
Frank Brickowski ...............   240,000
Jon Sundvoid ...................   200,000
Greg Anderson ..................   185,000
Petur Gudmundsson ..............   175,000
Ed Nealy .......................   100,000
Pete Myers .....................    75,000
Ricky Wilson ...................    75,000

Seattle Supersonics      Total: $5,096,000
Tom Chambers ...................   950,000
Xavier McDaniel ................   875,000
Alton Lister ...................   835,000
Clemon Johnson .................   502,000
Derrick McKey ..................   355,000
Olden Polynice .................   350,000
Dale Ellis .....................   325,000
Sedale Threatt .................   270,000
Russ Schoene ...................   250,000
Danny Young ....................   130,000
Nate McMillan ..................   129,000
Kevin Williams .................   125,000

Utah Jazz                Total: $5,780,000
Mel Turpin ..................... 1,000,000
Kelly Tripucka .................   971,000
Karl Malone ....................   835,000
Darrell Griffith ...............   685,000
Mark Eaton .....................   625,000
Thurl Bailey ...................   549,000
Rickey Green ...................   312,000
John Stockton ..................   278,000
Bobby Hansen ...................   200,000
Marc Iavaroni ..................   175,000
Bart Kofoed ....................    75,000
Scott Roth .....................    75,000

Washington Bullets       Total: $6,342,500
Moses Malone ................... 2,067,000
Bernard King ................... 1,000,000
Jeff Malone ....................   600,000
Terry Catledge .................   410,000
Darrell Walker .................   400,000
Frank Johnson ..................   325,000
John Williams ..................   308,000
Muggsy Bogues ..................   250,000
Charles Jones ..................   250,000
Mark Alarie ....................   232,500
Manute Bol .....................   200,000
Jay Murphy .....................   150,000
Steve Colter ...................   150,000


----
Patricia Bender         
pbender@eskimo.com
http://www.eskimo.com/~pbender/index.html

